experiment,config,strategy,throughput,p50,p90,p99,p99.9,max,errorRate,slowRequests
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=50| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,3560.72,12.00,14.00,55.00,62.00,71.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=50| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,832.97,112.00,114.00,159.00,163.00,168.00,0.00,26396
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=50| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,3569.54,12.00,14.00,55.00,62.00,73.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=50| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,3511.92,12.00,14.00,56.00,62.00,77.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,10543.49,12.00,14.00,55.00,62.00,69.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,1318.79,112.00,114.00,160.00,163.00,192.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,10539.05,12.00,14.00,56.00,63.00,104.00,0.00,4
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,10418.78,12.00,14.00,57.00,63.00,74.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,17099.33,12.00,16.00,56.00,65.00,105.00,0.00,1
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,2175.49,112.00,114.00,162.00,253.00,328.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,17662.80,12.00,14.00,56.00,62.00,71.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,17251.75,12.00,14.00,57.00,66.00,74.00,0.00,0
